Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AJG,Arthur J. Gallagher & Company,245.53,-0.05,-0.02%,245.4,244.78,8020,09:44 ET
AKAM,Akamai Technologies,108.78,0.22,0.20%,109.11,108.91,17568,09:44 ET
ALB,Albemarle Corp,119.61,1.26,1.06%,120,118.6,194894,09:45 ET
ALGN,Align Technology,320.54,1.26,0.39%,322.82,320.86,8213,09:45 ET
ALL,Allstate Corp,170.36,1.39,0.82%,170.8,169.13,83013,09:46 ET
ALLE,Allegion Plc,133.18,0.27,0.20%,133.55,133.18,2479,09:39 ET
AMAT,Applied Materials,210.85,2.39,1.15%,210.29,209.21,99304,09:46 ET
AMCR,Amcor Plc,9.29,0,0.00%,9.32,9.27,359573,09:45 ET
AMD,Adv Micro Devices,177.69,-0.94,-0.53%,180.43,178.8,2173579,09:46 ET
AME,Ametek Inc,182.95,0.19,0.10%,182.87,181.79,17398,09:46 ET
AMGN,Amgen Inc,283.64,2.82,1.00%,284.48,281.9,104414,09:46 ET
AMP,Ameriprise Financial Services,432.26,0.75,0.17%,431.67,431.67,2667,09:44 ET
AMT,American Tower Corp,194.67,-0.89,-0.46%,195.3,194.27,78388,09:45 ET
AMZN,Amazon.com Inc,179.77,0.06,0.03%,180.45,179.48,2056561,09:46 ET
ANET,Arista Networks Inc,302,-3.5,-1.15%,304.79,297.19,199213,09:46 ET
ANSS,Ansys Inc,350.98,3.46,1.00%,350.92,347.79,14898,09:44 ET
AON,AON Plc,328.98,1.4,0.43%,328.97,325.74,8851,09:44 ET
AOS,Smith A.O. Corp,88.47,0.43,0.49%,88.59,87.77,14574,09:45 ET
APA,Apa Corp,34.36,-0.23,-0.66%,34.8,34.42,239830,09:46 ET
APD,Air Products and Chemicals,238.08,0.52,0.22%,239.14,238.18,25085,09:45 ET
APH,Amphenol Corp,114.7,0.48,0.42%,115.26,114.45,75891,09:46 ET
APTV,Aptiv Plc,78.89,-0.2,-0.25%,79.6,78.75,61591,09:46 ET
ARE,Alexandria Real Estate Equities,126.51,0.04,0.03%,127.07,126.48,18199,09:45 ET
ATO,Atmos Energy Corp,115.95,-0.15,-0.13%,116.12,115.73,9007,09:45 ET
AVB,Avalonbay Communities,181.54,-0.47,-0.26%,182.43,181.74,12571,09:44 ET
AVGO,Broadcom Ltd,1367.9,16.32,1.21%,1369.06,1360.07,103557,09:45 ET
AVY,Avery Dennison Corp,218,0.69,0.32%,218.6,217.44,17507,09:40 ET
AWK,American Water Works,116.75,-0.39,-0.33%,117.04,116.62,54887,09:45 ET
AXON,Axon Enterprise Inc,317.55,2.08,0.66%,318.07,314.76,12056,09:46 ET
AXP,American Express Company,225.16,-0.87,-0.38%,226.73,225.46,76009,09:45 ET
AZO,Autozone,3173.53,2.71,0.09%,3166.58,3166.58,1236,09:45 ET
BA,Boeing Company,190,-1.41,-0.74%,192.03,188.61,385827,09:46 ET
BAC,Bank of America Corp,36.88,0.02,0.05%,37.03,36.8,1071160,09:46 ET
BALL,Ball Corporation,66.62,0.12,0.18%,66.73,66.19,35186,09:46 ET
BAX,Baxter International Inc,41.88,0.09,0.22%,41.9,41.62,28235,09:46 ET
BBWI,Bath & Body Works Inc,47.56,0.76,1.62%,47.64,47.02,29472,09:45 ET
BBY,Best Buy Company,81.27,0.55,0.68%,81.79,80.57,48509,09:45 ET
BDX,Becton Dickinson and Company,241.82,0.15,0.06%,242.86,242.01,10775,09:44 ET
BEN,Franklin Resources,27.45,0.14,0.51%,27.5,27.44,30856,09:45 ET
BF.B,Brown Forman Inc Cl B,51.03,0.17,0.33%,51.27,51.14,11081,09:45 ET
BG,Bunge Ltd,99.69,-0.25,-0.25%,100.21,99.835,10052,09:43 ET
BIIB,Biogen Inc,216.08,-0.61,-0.28%,216.67,216.15,12644,09:45 ET
BIO,Bio-Rad Laboratories,342.91,1.8,0.53%,342.77,342.77,3056,09:40 ET
BK,Bank of New York Mellon Corp,56.66,0.12,0.21%,56.99,56.58,42320,09:46 ET
BKNG,Booking Holdings Inc,3646.83,19.89,0.55%,3649,3640.6042,2970,09:46 ET
BKR,Baker Hughes Company,33.21,-0.08,-0.24%,33.31,33.21,70885,09:45 ET
BLDR,Builders Firstsource,211.64,2.86,1.37%,210.26,209.01,15762,09:44 ET
BLK,Blackrock Inc,818.15,1.94,0.24%,819.47,819.47,5869,09:43 ET
BMY,Bristol-Myers Squibb Company,52.14,-0.11,-0.21%,52.51,52.36,142510,09:46 ET
BR,Broadridge Financial Solutions Llc,202.23,-0.11,-0.05%,202.76,200.82,5759,09:44 ET
BRK.B,Berkshire Hathaway Cl B,409.34,-0.58,-0.14%,410,409.4181,72529,09:46 ET
BRO,Brown & Brown,85.84,-0.06,-0.07%,85.7,85.5824,16136,09:44 ET
BSX,Boston Scientific Corp,67.61,0.32,0.48%,67.64,67.37,79874,09:46 ET
BWA,Borgwarner Inc,32.99,-0.18,-0.54%,33.31,33.17,14903,09:46 ET
BX,Blackstone Inc,129.91,1.07,0.83%,129.82,129.33,60925,09:46 ET
BXP,Boston Properties,62.81,-0.08,-0.13%,63.21,63.08,7904,09:44 ET
C,Citigroup Inc,61.35,0.4,0.66%,61.359,61,337766,09:46 ET
CAG,Conagra Brands Inc,29.21,0.12,0.41%,29.14,29.1,30427,09:46 ET
CAH,Cardinal Health,110.97,-0.04,-0.04%,111.235,111,14295,09:45 ET
CARR,Carrier Global Corp,57.33,-0.04,-0.07%,57.39,57.18,29958,09:46 ET
CAT,Caterpillar Inc,358.47,2.52,0.71%,357.38,356,49804,09:46 ET
CB,Chubb Ltd,255.4,-0.21,-0.08%,254.78,254.41,137598,09:46 ET
CBOE,CBOE Global Markets Inc,179.87,0.27,0.15%,180.005,179.125,16715,09:46 ET
CBRE,CBRE Group Inc,95.72,0.01,0.01%,96.14,95.52,6292,09:42 ET
CCI,Crown Castle Inc,102.97,-0.55,-0.53%,103.39,103.04,26440,09:45 ET
CCL,Carnival Corp,17.3,0.19,1.11%,17.62,17.44,2056627,09:46 ET
CDNS,Cadence Design Sys,319.89,3.68,1.16%,318.33,317,29006,09:46 ET
CDW,CDW Corp,255.26,1.41,0.56%,254.31,253.96,5988,09:46 ET
CE,Celanese Corp,168.74,0.83,0.49%,168.435,168.26,3259,09:45 ET
CEG,Constellation Energy Corp,195.92,8.66,4.62%,193.45,189.62,96073,09:46 ET
CF,Cf Industries Holdings,83,-0.01,-0.01%,82.9615,82.75,11469,09:45 ET
CFG,Citizens Financial Group Inc/Ri,35.3,0.01,0.03%,35.665,35.495,28416,09:46 ET
CHD,Church & Dwight Company,103.36,0.37,0.36%,103.66,103.49,11208,09:45 ET
CHRW,C.H. Robinson Ww,73.85,-0.97,-1.30%,74.948,74.73,11716,09:46 ET
CHTR,Charter Communications Inc,289.81,-0.79,-0.27%,291.285,290.58,6411,09:46 ET
CI,The Cigna Group,356.34,0.79,0.22%,355.04,354.94,9760,09:45 ET
CINF,Cincinnati Financial,120.58,-0.18,-0.15%,120.55,120.55,6997,09:45 ET
CL,Colgate-Palmolive Company,89,0.36,0.41%,88.84,88.675,44198,09:46 ET
CLX,Clorox Company,151.35,0.83,0.55%,151.75,151.1,163258,09:45 ET
CMA,Comerica Inc,52.25,0.19,0.36%,52.5,52.41,10581,09:45 ET
CMCSA,Comcast Corp A,42.22,-0.42,-0.98%,42.66,42.49,218913,09:46 ET
CME,CME Group Inc,213.64,-1.55,-0.72%,215.18,214.71,14731,09:45 ET
CMG,Chipotle Mexican Grill,2928.8,25.36,0.87%,2923.4199,2921.625,5769,09:45 ET
CMI,Cummins Inc,288.37,0.61,0.21%,287.94,287.66,7631,09:45 ET
CMS,Cms Energy Corp,58.64,0.03,0.05%,58.635,58.63,14248,09:46 ET
CNC,Centene Corp,77.43,0.36,0.47%,76.75,76.75,436,09:45 ET
CNP,Centerpoint Energy Inc,27.49,-0.11,-0.40%,27.61,27.57,53417,09:46 ET
COF,Capital One Financial Corp,140.84,0.29,0.21%,141.09,140.85,32003,09:46 ET
COO,Cooper Companies,101.24,0.37,0.37%,101.05,100.87,5794,09:44 ET
COP,Conocophillips,125.83,-0.4,-0.32%,126.75,126.3,76338,09:46 ET
COR,Cencora Inc,242.27,0.21,0.09%,242.06,241.95,9563,09:45 ET
COST,Costco Wholesale,733.8,2.84,0.39%,731.46,730.2201,29041,09:46 ET
CPB,Campbell Soup Company,43.31,-0.06,-0.14%,43.51,43.38,14557,09:46 ET
CPRT,Copart Inc,57.16,-0.02,-0.03%,57.325,57.03,62053,09:46 ET
CPT,Camden Property Trust,97.47,-0.03,-0.03%,97.5,97.24,5363,09:46 ET
CRL,Charles River Laboratories Intl,266.45,0.84,0.32%,265.64,265.64,2150,09:45 ET
CRM,Salesforce Inc,306.28,0.22,0.07%,307.8,306.83,150708,09:46 ET
CSCO,Cisco Systems Inc,49.58,-0.1,-0.20%,49.65,49.51,240088,09:46 ET
CSGP,Costar Group Inc,95.4,-0.42,-0.44%,96.495,95.855,40549,09:45 ET
CSX,CSX Corp,36.24,-0.6,-1.63%,35.97,35.7,1047321,09:46 ET
CTAS,Cintas Corp,635.73,0.07,0.01%,635.72,635.72,3535,09:44 ET
CTLT,Catalent Inc,56.46,0.06,0.11%,56.5,56.2822,14272,09:45 ET
CTRA,Coterra Energy Inc,27.83,0.01,0.04%,27.955,27.89,70068,09:46 ET
CTSH,Cognizant Tech Sol,71.98,-0.03,-0.04%,72.25,72,35280,09:45 ET
CTVA,Corteva Inc,56.01,0.38,0.68%,55.7,55.7,1274,09:46 ET
CVS,CVS Corp,78.68,-0.3,-0.38%,78.5,77.66,1150017,09:46 ET
CVX,Chevron Corp,155.91,-0.56,-0.36%,156.53,156.46,14914,09:46 ET
CZR,Caesars Entertainment Inc,42.97,1.25,3.00%,42.315,42.08,14913,09:46 ET
D,Dominion Energy Inc,47.9,-0.35,-0.73%,48.27,48.03,161478,09:46 ET
DAL,Delta Air Lines Inc,45.8,0.38,0.84%,45.6199,45.44,110826,09:46 ET
DAY,Dayforce Inc,67.05,0.33,0.49%,67.28,67.28,6316,09:45 ET
DD,Dupont Denemours Inc,76.11,0.17,0.22%,76.11,76,1180,09:46 ET
DE,Deere & Company,398.87,0.84,0.21%,398.73,397.54,25116,09:45 ET
DECK,Deckers Outdoor Corp,935.45,2.86,0.31%,931.98,930.76,7038,09:41 ET
DFS,Discover Financial Services,125.5,0.24,0.19%,125.5,125.19,10576,09:46 ET
DG,Dollar General Corp,150.84,0.06,0.04%,151.67,150.51,16967,09:46 ET
DGX,Quest Diagnostics Inc,129.43,0.15,0.12%,129.62,128.74,7340,09:45 ET
DHI,D.R. Horton,160.49,0.71,0.44%,160.41,159.81,20575,09:45 ET
DHR,Danaher Corp,248.56,0.76,0.31%,247.9633,247.27,32616,09:45 ET
DIS,Walt Disney Company,119.09,-0.27,-0.23%,119.63,119.43,56733,09:46 ET
DLR,Digital Realty Trust,138.69,0.86,0.62%,138.425,137.86,27823,09:45 ET
DLTR,Dollar Tree Inc,126.31,0.16,0.13%,126.25,125.78,18910,09:46 ET
DOC,Healthpeak Properties Inc,17.54,0.04,0.23%,17.69,17.52,55717,09:46 ET
DOV,Dover Corp,175.69,0.33,0.19%,176.67,175.53,5191,09:43 ET
DOW,Dow Inc,57.4,0.01,0.02%,57.69,57.465,56805,09:46 ET
DPZ,Domino's Pizza Inc,473.38,8.27,1.78%,471.44,467.34,9471,09:46 ET
DRI,Darden Restaurants,163.75,1.05,0.65%,163.72,163.39,7761,09:45 ET
DTE,Dte Energy Company,108.66,0.24,0.22%,108.5359,108.47,6223,09:45 ET
DUK,Duke Energy Corp,94.69,-0.15,-0.16%,94.89,94.75,46703,09:46 ET
DVA,Davita Healthcare Partners Inc,135.4,0.63,0.47%,135,134.795,6860,09:45 ET
